ID,Park Name,Latitude,Longitude,Mailing_Address,Street1,Street2,City,State,Postal Code,Country,Location,Notes
33,Doctors Park,43.168142,-87.883877,"1870 E Fox Ln, Fox Point, WI 53217",1870 E Fox Ln,,Fox Point,WI,53217,USA,"43.168142, -87.883877",
34,Doyne Park,43.041471,-87.979716,"5300 W Wells St, Milwaukee, WI 53208",5300 W Wells St,,Milwaukee,WI,53208,USA,"43.041471, -87.979716",
35,Dretzka Park,43.1683278,-88.0564027,"12020 W Bradley Rd, Milwaukee, WI 53224",12020 W Bradley Rd,,Milwaukee,WI,53224,USA,"43.1683278, -88.0564027","The majority of park land was acquired in 1956. The park was named after Jerome C. Dretzka, a member of the Park Commission (1920–1963). The 210-acre (0.85 km2) golf course opened in 1964. Other facilities include a golf driving range, picnic areas, sand volleyball, a multi-use athletic field, a disc golf course, a segment of the Oak Leaf Trail, and a groomed cross-country ski trail.[14]"
36,Estabrook Park,43.0984793,-87.9056534,"4400 N. Estabrook Dr., Shorewood, WI 53211",4400 N. Estabrook Dr.,,Shorewood,WI,53211,USA,"43.0984793, -87.9056534","Located along the easterly bank of the Milwaukee River between Hampton Ave and Capitol Drive. Initial acquisition of land for the park started in 1916. Significant development took place in the early and mid-1930s, led in part by the Civilian Conservation Corps. The historic Benjamin Church House—built by pioneer builder Benjamin F. Church—was moved to the park in 1938.[15] The WITI TV Tower is also located within the park."
37,Euclid Park,42.98686703,-88.02140707,"3200 S 88th St, Milwaukee, WI 53227",3200 S 88th St,,Milwaukee,WI,53227,USA,"42.9868670335885, -88.0214070651382",
38,Falk Park,42.9158344,-87.9411777,"2013 W Rawson Ave, Oak Creek, WI 53154",2013 W Rawson Ave,,Oak Creek,WI,53154,USA,"42.9158344, -87.9411777",
39,Franklin Park,42.8585155,-88.045054,"10400 W Oakwood Rd, Franklin, WI 53132",10400 W Oakwood Rd,,Franklin,WI,53132,USA,"42.8585155, -88.045054",
40,Froemming Park,42.88395947,-87.98496108,"8801 S 51st St, Franklin, WI 53132",8801 S 51st St,,Franklin,WI,53132,USA,"42.8839594679864, -87.9849610767863",
41,Garden Homes Square Park,43.0977997,-87.9411394,"2600 W Atkinson Ave, Milwaukee, WI 53209",2600 W Atkinson Ave,,Milwaukee,WI,53209,USA,"43.0977997, -87.9411394",
42,Gilman Triangle Park,43.0630269,-87.877893,"2475 N Lake Dr, Milwaukee, WI 53211",2475 N Lake Dr,,Milwaukee,WI,53211,USA,"43.0630269, -87.877893",
43,Gordon Park,43.0700261,-87.8972375,"2828 N Humboldt Blvd, Milwaukee, WI 53212",2828 N Humboldt Blvd,,Milwaukee,WI,53212,USA,"43.0700261, -87.8972375","The City of Milwaukee purchased the site for Gordon Park in 1907. In 1937, it was turned over to Milwaukee County as part of the consolidation of parks.[16]"
44,Grant Park,42.92458489,-87.84810643,"100 E Hawthorne Ave, South Milwaukee, WI 53172",100 E Hawthorne Ave,,South Milwaukee,WI,53172,USA,"42.924584889481, -87.8481064310527","Located in South Milwaukee, established in 1911 after Horace Fowle's sale of farm land.[17]

Grant Park Fall 2011"
45,Granville Dog Park Park,43.150804,-88.060143,"11718 Good Hope Rd, Milwaukee, WI 53224",11718 Good Hope Rd,,Milwaukee,WI,53224,USA,"43.150804, -88.060143","Milwaukee County's first dog park. Established in 1998, Granville Dog Park sits in what was once the town of Granville before it was annexed by the City of Milwaukee. Originally created by a combination of political leaders and a non-profit group, Partners in Parks, Granville Dog Park is now run exclusively by the Milwaukee County Parks department."
46,Greene Park,42.9677185,-87.8661961,"4235 S Lipton Ave, St Francis, WI 53235",4235 S Lipton Ave,,St Francis,WI,53235,USA,"42.9677185, -87.8661961",
47,Greenfield Park,43.0095955,-88.0623263,"2028 S 124th St, West Allis, WI 53227",2028 S 124th St,,West Allis,WI,53227,USA,"43.0095955, -88.0623263","Located in West Allis at the source of both the Root River and Underwood Creek. The majority of land for the park was acquired in 1921. The golf course, designed by George Hansen, opened in 1923. The park's pool became the county's first outdoor swimming pool when it opened in 1932.[18]"
48,Grobschmidt Park,42.9259117,-87.9663169,"3751 W College Ave, Greenfield, WI 53221",3751 W College Ave,,Greenfield,WI,53221,USA,"42.9259117, -87.9663169","Composed of oak-hickory woodland, sedge meadow, and a six-acre pond named Mud Lake. Formerly used by Native Americans and is virtually undeveloped except for the park sign and walking trail."
49,Hales Corners Park,42.9393716,-88.0596108,"5765 S New Berlin Rd, Hales Corners, WI 53130",5765 S New Berlin Rd,,Hales Corners,WI,53130,USA,"42.9393716, -88.0596108",
50,Hansen Park,43.0576701,-88.0357575,"9800 W. Underwood Creek Pkwy., Wauwatosa, WI 53226",9800 W. Underwood Creek Pkwy.,,Wauwatosa,WI,53226,USA,"43.0576701, -88.0357575",
51,A.C. Hanson Park,43.1831734,-87.9883916,"9100 N Maura Ln, Brown Deer, WI 53223",9100 N Maura Ln,,Brown Deer,WI,53223,USA,"43.1831734, -87.9883916",This small park in Brown Deer houses a great playground.
52,Hart Park,43.0460673,-88.003512,"7300 W Chestnut St, Milwaukee, WI 53213",7300 W Chestnut St,,Milwaukee,WI,53213,USA,"43.0460673, -88.003512",
53,Hartung Park,43.0794664,-88.0394467,"3266 Menomonee River Pkwy, Milwaukee, WI 53222",3266 Menomonee River Pkwy,,Milwaukee,WI,53222,USA,"43.0794664, -88.0394467",
54,Hawthorne Glen Park,43.0458612,-87.9862822,"1130 N 60th St, Milwaukee, WI 53208",1130 N 60th St,,Milwaukee,WI,53208,USA,"43.0458612, -87.9862822","Nature center museum, live native animals, ¾ mile self-guided nature trail, picnic areas"
55,Highland Park,43.0446263,-87.96307,"4000 W Highland Blvd, Milwaukee, WI 53208",4000 W Highland Blvd,,Milwaukee,WI,53208,USA,"43.0446263, -87.96307",
56,Holler Park,42.9507944,-87.9214817,"5151 S 6th St, Milwaukee, WI 53221",5151 S 6th St,,Milwaukee,WI,53221,USA,"42.9507944, -87.9214817",
57,Holt Park,42.98246072,-88.04382045,"3300 S 106th St, West Allis, WI 53227",3300 S 106th St,,West Allis,WI,53227,USA,"42.9824607195815, -88.043820448724",Undeveloped park located in Greenfield.
58,Hoyt Park,43.0546579,-88.0237278,"1800 N Swan Blvd, Wauwatosa, WI 53226",1800 N Swan Blvd,,Wauwatosa,WI,53226,USA,"43.0546579, -88.0237278",
59,Humboldt Park,42.9898963,-87.9035014,"3000 S Howell Ave, Milwaukee, WI 53207",3000 S Howell Ave,,Milwaukee,WI,53207,USA,"42.9898963, -87.9035014","One of the city's first parks, opened in 1891. In 1900, it was named to honor Friedrich Wilhelm Heinrich Alexander Freiherr von Humboldt.[19]"
60,Jackson Park,42.9955184,-87.9659841,"3500 W Forest Home Ave, Milwaukee, WI 53215",3500 W Forest Home Ave,,Milwaukee,WI,53215,USA,"42.9955184, -87.9659841","First named Reynolds Grove in 1907, renamed in honor of Andrew Jackson in 1910. The park contains the Statue of Commerce or ""The Pewter Lady."" This statue by sculptor Gustav Haug had originally stood over the entrance of the Chamber of Commerce building in downtown from 1880 until 1909.[20]"
61,Jacobus Park,43.0863367,-88.042106,"6501 W Hillside Ave, Wauwatosa, WI 53222",6501 W Hillside Ave,,Wauwatosa,WI,53222,USA,"43.0863367, -88.042106","The original name of the site was Sholes Park in honor of Christopher Sholes. In 1932, the site was renamed in recognition of the role Charles C. Jacobus, a former county supervisor from Wauwatosa, had in development of the park system.[21]"
62,Johnsons Park,43.0576933,-87.9362377,"1919 W Fond Du Lac Ave, Milwaukee, WI 53205",1919 W Fond Du Lac Ave,,Milwaukee,WI,53205,USA,"43.0576933, -87.9362377",
63,Johnstone Park,42.92237961,-87.94292226,"6750 S 24th St, Oak Creek, WI 53154",6750 S 24th St,,Oak Creek,WI,53154,USA,"42.9223796112348, -87.9429222641001",
64,Joseph Lichter Park,43.1849663,-88.024026,"N Swan Rd & W Fairy Chasm Dr, Milwaukee, WI 53224",N Swan Rd & W Fairy Chasm Dr,,Milwaukee,WI,53224,USA,"43.1849663, -88.024026",
65,Juneau Park,43.0382729,-87.8994865,"801 N Lincoln Memorial Dr, Milwaukee, WI 53202",801 N Lincoln Memorial Dr,,Milwaukee,WI,53202,USA,"43.0382729, -87.8994865",Named after Solomon Juneau. Overlooks Lake Michigan just north of downtown. Originally under the jurisdiction of the public works department. The original park was a narrow strip of land along the bluff above a busy railroad depot.[8]
66,Kern Park,43.0832882,-87.8957194,"3614 N Humboldt Blvd, Milwaukee, WI 53212",3614 N Humboldt Blvd,,Milwaukee,WI,53212,USA,"43.0832882, -87.8957194",
67,King Park,43.0481017,-87.9320632,"1531 W Vliet St, Milwaukee, WI 53205",1531 W Vliet St,,Milwaukee,WI,53205,USA,"43.0481017, -87.9320632","Named after Martin Luther King, Jr.. The County Park Commission acquired park land in 1968 from the City of Milwaukee redevelopment agency. The community center opened in 1976, which continued to provide a range of programming.[22]"
68,Kinnickinnic Sports Center Park,42.990617,-87.941737,"3070 S 20th St, Milwaukee, WI 53215",3070 S 20th St,,Milwaukee,WI,53215,USA,"42.990617, -87.941737",
69,Kletzsch Park,43.1366341,-87.9286352,"6560 N Milwaukee River Pkwy, Glendale, WI 53209",6560 N Milwaukee River Pkwy,,Glendale,WI,53209,USA,"43.1366341, -87.9286352","Adjacent to the Milwaukee River within the City of Glendale. Acquisition of land for the park began in 1918 when the 35-acre (140,000 m2) Blatz farm was purchased. Named after Alvin P. Kletzsch, a member of the Park Commission (1907–1941). Archaeological studies done in the early 1930s indicated that a portion of the park once contained an Indian camp and burial ground.[23]"
70,Kohl Park,43.189984,-88.010828,"7603 W County Line Rd, Milwaukee, WI 53223",7603 W County Line Rd,,Milwaukee,WI,53223,USA,"43.189984, -88.010828","Named after real estate developer, Sydney Kohl, this land was donated to Milwaukee County but has become undeveloped thus far. Previous to being named the land was called Park Site 71. An effort to explore development of the property was torpedoed by neighbors adjacent to the park in 2000 amid fears of what development could bring."
71,Kops Park,43.0795025,-88.0210219,"3321 N 86th St, Milwaukee, WI 53222",3321 N 86th St,,Milwaukee,WI,53222,USA,"43.0795025, -88.0210219","Named in honor of Milwaukee County Supervisor, Gerald Henry Kops, the park is located near Mount Mary College. Attorney Kops received his undergraduate degree from NYU and his law degree from Marquette University. He served as Milwaukee County Supervisor for over 20 years in the 1930s nd 1940's. The park includes a wading pool, tot lot and 2 softball diamonds."
72,Kosciuszko Park,43.004551,-87.9214528,"2201 S 7th St, Milwaukee, WI 53215",2201 S 7th St,,Milwaukee,WI,53215,USA,"43.004551, -87.9214528","The city acquired initial land in 1890 from J. C. Coleman, and the site was referred to as the Coleman Tract and Coleman Park. During the mid-1890s the site was renamed Lincoln Avenue Park and ultimately in 1900 it was named after General Tadeusz Kościuszko, to which there is a statue.[24]"
73,Kulwicki Park,42.9651079,-88.0459939,"10777 W Cold Spring Rd, Greenfield, WI 53228",10777 W Cold Spring Rd,,Greenfield,WI,53228,USA,"42.9651079, -88.0459939","Created in 1996 to honor NASCAR racecar driver, and Greenfield native, Alan Kulwicki"
74,La Follette Park,43.020848,-88.029241,"9418 W Washington St, West Allis, WI 53214",9418 W Washington St,,West Allis,WI,53214,USA,"43.020848, -88.029241",
75,Lake Park,43.0744319,-87.8687698,"3233 E Kenwood Blvd, Milwaukee, WI 53211",3233 E Kenwood Blvd,,Milwaukee,WI,53211,USA,"43.0744319, -87.8687698","Designed by Frederick Law Olmsted. Location of the historic North Point Lighthouse, which was built in 1855."
76,Lincoln Park,43.1031998,-87.9281085,"1301 W Hampton Ave, Milwaukee, WI 53209",1301 W Hampton Ave,,Milwaukee,WI,53209,USA,"43.1031998, -87.9281085",Location of the television station transmitter tower for WISN-TV and the combined tower of Weigel Broadcasting's four area stations.
77,Lindbergh Park,43.08425899,-87.9321153,"3629 N 16th St, Milwaukee, WI 53206",3629 N 16th St,,Milwaukee,WI,53206,USA,"43.0842589912357, -87.9321152978308",
78,Lindsay Park,43.0962668,-88.0181479,"4360 N 87th St, Milwaukee, WI 53222",4360 N 87th St,,Milwaukee,WI,53222,USA,"43.0962668, -88.0181479",
79,Lyons Park,42.9847279,-87.9837574,"3301 S 55th St, Milwaukee, WI 53219",3301 S 55th St,,Milwaukee,WI,53219,USA,"42.9847279, -87.9837574",
80,Madison Park,43.1018973,-88.0344363,"9800 W Glendale Ave, Wauwatosa, WI 53225",9800 W Glendale Ave,,Wauwatosa,WI,53225,USA,"43.1018973, -88.0344363",
81,Maitland Park,42.93521435,-87.93247977,"6001 S 13th St, Milwaukee, WI 53221",6001 S 13th St,,Milwaukee,WI,53221,USA,"42.9352143491489, -87.9324797651994",
82,Manitoba Park,42.9909645,-87.975723,"2941 S 49th St, Milwaukee, WI 53219",2941 S 49th St,,Milwaukee,WI,53219,USA,"42.9909645, -87.975723",
83,McCarty Park,42.9966735,-88.0130358,"8214 W Cleveland Ave, West Allis, WI 53219",8214 W Cleveland Ave,,West Allis,WI,53219,USA,"42.9966735, -88.0130358",Located in West Allis. A segment of the Oak Leaf Trail cuts through this park.
84,McGovern Park,43.1174388,-87.9720688,"5400 N 51st Blvd, Milwaukee, WI 53218",5400 N 51st Blvd,,Milwaukee,WI,53218,USA,"43.1174388, -87.9720688","Initially called Silver Spring Park, later renamed in honor of William R. McGovern, the longest serving Park Commissioner (1919–1964). Initial acquisition of the land took place in 1910 when the Milwaukee County Board of Supervisors purchased acreage as part of the House of Corrections farm which was located in that area.[25]"
85,McKinley Park,43.0511552,-87.8832423,"1750 N Lincoln Memorial Dr, Milwaukee, WI 53202",1750 N Lincoln Memorial Dr,,Milwaukee,WI,53202,USA,"43.0511552, -87.8832423",
86,Meaux Park,43.1122339,-87.9350122,"1904 W Villard Ave, Milwaukee, WI 53209",1904 W Villard Ave,,Milwaukee,WI,53209,USA,"43.1122339, -87.9350122",
87,Melody View Preserve Park,43.15102,-88.023749,"7300 N 91st St, Milwaukee, WI 53224",7300 N 91st St,,Milwaukee,WI,53224,USA,"43.15102, -88.023749","Prior to acquisition by Milwaukee County, this land was owned by MPS who sold the land to Walgreens who wanted to put a pharmacy on Good Hope Road. Amid neighborhood concerns, the County Supervisor at the time negotiated donation of the land between Walgreens and the Melody View Neighborhood. A walking path which was planned of the park was scrapped amid budget concerns in the late 1990s."
88,Merrill Park,43.0359482,-87.9585972,"461 N 35th St, Milwaukee, WI 53208",461 N 35th St,,Milwaukee,WI,53208,USA,"43.0359482, -87.9585972",
89,Metcalfe Park,43.061987,-87.956124,"3401 W Meinecke Ave, Milwaukee, WI 53210",3401 W Meinecke Ave,,Milwaukee,WI,53210,USA,"43.061987, -87.956124",
90,Mitchell Park,43.0261557,-87.9463935,"524 S Layton Blvd, Milwaukee, WI 53215",524 S Layton Blvd,,Milwaukee,WI,53215,USA,"43.0261557, -87.9463935",Location of the Mitchell Park Horticultural Conservatory.
91,Mitchell Airport Park,42.9624979,-87.8930184,"4446 S Logan Ave, Milwaukee, WI 53207",4446 S Logan Ave,,Milwaukee,WI,53207,USA,"42.9624979, -87.8930184",Located just north of Milwaukee Mitchell International Airport.
92,Mitchell Boulevard Park,43.0341763,-87.9784969,"5115 W Bluemound Rd, Milwaukee, WI 53208",5115 W Bluemound Rd,,Milwaukee,WI,53208,USA,"43.0341763, -87.9784969",The Tree of Life is at the North end of the park along Bluemound Rd.
93,Moody Park,43.0751173,-87.9398456,"2200 W Burleigh St, Milwaukee, WI 53206",2200 W Burleigh St,,Milwaukee,WI,53206,USA,"43.0751173, -87.9398456",
94,Morgan Triangle Park,42.9821564,-87.8799831,"3404 S Kinnickinnic Ave, Milwaukee, WI 53207",3404 S Kinnickinnic Ave,,Milwaukee,WI,53207,USA,"42.9821564, -87.8799831",
95,Nash Park,43.0853964,-88.0112356,"7800 W Nash St, Milwaukee, WI 53222",7800 W Nash St,,Milwaukee,WI,53222,USA,"43.0853964, -88.0112356",
96,Noyes Park,43.1476223,-88.0139117,"8235 Good Hope Rd, Milwaukee, WI 53223",8235 Good Hope Rd,,Milwaukee,WI,53223,USA,"43.1476223, -88.0139117","Housing a par 3 golf course, Noyes Park is a short course on Milwaukee's Northwest side. It also houses a great playground on the western part of the park."
97,Oakwood Park,42.8581929,-87.9645436,"3600 W Oakwood Rd, Franklin, WI 53132",3600 W Oakwood Rd,,Franklin,WI,53132,USA,"42.8581929, -87.9645436","Initial acquisition of land for the park occurred in 1958, the rest was purchased by 1961. The 18-hole golf course (opened in 1971) occupies over one-half of the park and it is the county's longest course at approximately 7,000 yards.[26]"
98,O'Donnell Park Park,43.05559,-87.888608,"1947 N Prospect Ave, Milwaukee, WI 53202",1947 N Prospect Ave,,Milwaukee,WI,53202,USA,"43.05559, -87.888608","Has views of the lakefront and downtown skyline from benches and picnic tables. Home to the Betty Brinn Children's Museum, banquet facilities and plaza gardens used for weddings and other events. The park links the east end of Wisconsin Avenue and the ""Calatrava"" addition of the Milwaukee Art Museum through the Reiman Bridge. A great place[original research?] to watch daily opening and closing of the Calatrava's white ""wings"" (""Burke Brise Soleil""), as well as fireworks and sunrises. North half of park was originally part of adjacent Juneau Park and dates back to 1868."
99,Pere Marquette Park,43.0422712,-87.9137137,"900 N Plankinton Ave, Milwaukee, WI 53203",900 N Plankinton Ave,,Milwaukee,WI,53203,USA,"43.0422712, -87.9137137","Directly west of the Marcus Center, across the Milwaukee River. The Milwaukee County Historical Society is at its western edge. The original development of the park was completed in 1976. The park is named in honor of Father (Père) Jacques Marquette.[27] Hosts the annual River Splash festival."
100,Pleasant Valley Park,43.0786019,-87.895444,"1229 E Concordia Ave, Milwaukee, WI 53212",1229 E Concordia Ave,,Milwaukee,WI,53212,USA,"43.0786019, -87.895444",
101,Pompeii Square Park,43.03574372,-87.90354652,"500 N Van Buren St, Milwaukee, WI 53202",500 N Van Buren St,,Milwaukee,WI,53202,USA,"43.0357437167609, -87.9035465180371","Location of Blessed Virgin of Pompeii Church (1904–1967), which stood west across N. Jackson St. from present-day Pompeii Square. The church (known as ""the little pink church"") was razed for freeway expansion in 1967.[28]"
102,Popuch Park,43.17188027,-88.04216389,"8500 N Granville Ave, Milwaukee, WI  53224",8500 N Granville Ave,,Milwaukee,WI ,53224,USA,"43.1718802695756, -88.0421638867118","This small, neighborhood park is a little green oasis with an ADA compliant playground."
103,Prospect Triangle Park,43.06315089,-87.88277384,"E Bradford Ave, Milwaukee, WI 53211",E Bradford Ave,,Milwaukee,WI,53211,USA,"43.063150890574, -87.8827738430799",
104,Pulaski – Cudahy Park,42.9450926,-87.8546877,"5400 S Swift Ave, Cudahy, WI 53110",5400 S Swift Ave,,Cudahy,WI,53110,USA,"42.9450926, -87.8546877",
105,Pulaski–Milwaukee Park,42.9961245,-87.9336423,"2677 S 16th St, Milwaukee, WI 53215",2677 S 16th St,,Milwaukee,WI,53215,USA,"42.9961245, -87.9336423",
106,Rainbow Park,43.022134,-88.0583769,"700 S 119th St, West Allis, WI 53214",700 S 119th St,,West Allis,WI,53214,USA,"43.022134, -88.0583769",
107,Rawson Park,42.9153107,-87.8690057,"1400 E Rawson Ave, South Milwaukee, WI 53172",1400 E Rawson Ave,,South Milwaukee,WI,53172,USA,"42.9153107, -87.8690057",
